"Time Interval","Year","Week","Area","Energy (MWh)"
"30/12/2024 - 06/01/2025","2025","Week 1","BZN|NO1","4308729.00"
"06/01/2025 - 13/01/2025","2025","Week 2","BZN|NO1","4083140.00"
"13/01/2025 - 20/01/2025","2025","Week 3","BZN|NO1","3899513.00"
"20/01/2025 - 27/01/2025","2025","Week 4","BZN|NO1","3662961.00"
"27/01/2025 - 03/02/2025","2025","Week 5","BZN|NO1","3383238.00"
"03/02/2025 - 10/02/2025","2025","Week 6","BZN|NO1","3105811.00"
"10/02/2025 - 17/02/2025","2025","Week 7","BZN|NO1","2764263.00"
"17/02/2025 - 24/02/2025","2025","Week 8","BZN|NO1","2447746.00"
"24/02/2025 - 03/03/2025","2025","Week 9","BZN|NO1","2222255.00"
"03/03/2025 - 10/03/2025","2025","Week 10","BZN|NO1","2178343.00"
"10/03/2025 - 17/03/2025","2025","Week 11","BZN|NO1","1963944.00"
"17/03/2025 - 24/03/2025","2025","Week 12","BZN|NO1","1707066.00"
"24/03/2025 - 31/03/2025","2025","Week 13","BZN|NO1","1548925.00"
"31/03/2025 - 07/04/2025","2025","Week 14","BZN|NO1","1493209.00"
"07/04/2025 - 14/04/2025","2025","Week 15","BZN|NO1","1509974.00"
"14/04/2025 - 21/04/2025","2025","Week 16","BZN|NO1","1817818.00"
"21/04/2025 - 28/04/2025","2025","Week 17","BZN|NO1","1989304.00"
"28/04/2025 - 05/05/2025","2025","Week 18","BZN|NO1","2179372.00"
"05/05/2025 - 12/05/2025","2025","Week 19","BZN|NO1","2341674.00"
"12/05/2025 - 19/05/2025","2025","Week 20","BZN|NO1","2604185.00"
"19/05/2025 - 26/05/2025","2025","Week 21","BZN|NO1","2793460.00"
"26/05/2025 - 02/06/2025","2025","Week 22","BZN|NO1","3043153.00"
"02/06/2025 - 09/06/2025","2025","Week 23","BZN|NO1","3265743.00"
"09/06/2025 - 16/06/2025","2025","Week 24","BZN|NO1","3405965.00"
"16/06/2025 - 23/06/2025","2025","Week 25","BZN|NO1","3614612.00"
"23/06/2025 - 30/06/2025","2025","Week 26","BZN|NO1","3828447.00"
"30/06/2025 - 07/07/2025","2025","Week 27","BZN|NO1","3992372.00"
"07/07/2025 - 14/07/2025","2025","Week 28","BZN|NO1","4058619.00"
"14/07/2025 - 21/07/2025","2025","Week 29","BZN|NO1","4165837.00"
"21/07/2025 - 28/07/2025","2025","Week 30","BZN|NO1","4164280.00"
"28/07/2025 - 04/08/2025","2025","Week 31","BZN|NO1","4268897.00"
"04/08/2025 - 11/08/2025","2025","Week 32","BZN|NO1","4466194.00"
"11/08/2025 - 18/08/2025","2025","Week 33","BZN|NO1","4446497.00"
"18/08/2025 - 25/08/2025","2025","Week 34","BZN|NO1","4381383.00"
"25/08/2025 - 01/09/2025","2025","Week 35","BZN|NO1","4315371.00"
"01/09/2025 - 08/09/2025","2025","Week 36","BZN|NO1","4579346.00"
"08/09/2025 - 15/09/2025","2025","Week 37","BZN|NO1","4843992.00"
"15/09/2025 - 22/09/2025","2025","Week 38","BZN|NO1","5080874.00"
"22/09/2025 - 29/09/2025","2025","Week 39","BZN|NO1","5003282.00"
"29/09/2025 - 06/10/2025","2025","Week 40","BZN|NO1","4987304.00"
"06/10/2025 - 13/10/2025","2025","Week 41","BZN|NO1","5106004.00"
"13/10/2025 - 20/10/2025","2025","Week 42","BZN|NO1","5042888.00"
"20/10/2025 - 27/10/2025","2025","Week 43","BZN|NO1","-"
"27/10/2025 - 03/11/2025","2025","Week 44","BZN|NO1","-"
"03/11/2025 - 10/11/2025","2025","Week 45","BZN|NO1","-"
"10/11/2025 - 17/11/2025","2025","Week 46","BZN|NO1","-"
"17/11/2025 - 24/11/2025","2025","Week 47","BZN|NO1","-"
"24/11/2025 - 01/12/2025","2025","Week 48","BZN|NO1","-"
"01/12/2025 - 08/12/2025","2025","Week 49","BZN|NO1","-"
"08/12/2025 - 15/12/2025","2025","Week 50","BZN|NO1","-"
"15/12/2025 - 22/12/2025","2025","Week 51","BZN|NO1","-"
"22/12/2025 - 29/12/2025","2025","Week 52","BZN|NO1","-"
